Name,SpotifyID,MBID,Similar Artists
Tycho,5oOhM2DFWab8XhSdQiITry,cbef45a9-7acb-4325-94c9-70081ac8d1b8,
John Lennon,4x1nvY2FN8jxqAFA0DA02H,4d5447d7-c61c-4120-ba1b-d7f471d385b9,
Black Sabbath,5M52tdBnJaKSvOpJGz8mfZ,5182c1d9-c7d2-4dad-afa0-ccfeada921a8,
Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,01809552-4f87-45b0-afff-2c6f0730a3be,
Israel Nash,5skM4jc4QoEpHiWWl6OoW7,Service Unavailable,
Misha Panfilov,2mLgv6MF6Te16Qv6VOqx5p,Service Unavailable,
Alvvays,3kzwYV3OCB010YfXMF0Avt,99450990-b24e-4132-bb68-235f8c3e2564,
Sea Level,3VqsPf2lM6ulJ5fjCJquyP,Service Unavailable,
Super Simple Songs,7CdGfkCRgPhElnqy3HPJ4a,a642d9a4-f33e-4d6c-8e11-54a4bbf0f647,
The Jam,2P560DaOMNDUACoH8ZhOCR,23228f18-01d5-493e-94ce-cfcde82a8db2,
Arc De Soleil,2iLMJdaqsQ44X7MPRD7rR5,140bd83c-475b-4eb3-bf82-27ff4dc92abc,
Jeff Beck,0AD4odMWVQ2wUSlgxOB5Rl,14a4bc78-1c2d-4ca7-8d1b-9b58076a2a17,
M83,63MQldklfxkjYDoUE4Tppz,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,
Joey Landreth,1n5S81eeVtaFs2vvo7p234,4554bcbe-3ca8-4c7f-b5ec-ad2b50694b41,
The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,d5d97b2b-b83b-4976-814a-056d9076c8c3,
Luther Vandross,19y5MFBH7gohEdGwKM7QsP,816d9b5d-eaf9-4a97-b5f7-6e82cd01aafe,
Thin Lizzy,6biWAmrHyiMkX49LkycGqQ,6a726ac6-019e-455c-8bbb-571a77bed52e,
The Brian Jonestown Massacre,30uiS1n3uIGXJEYFR1GVDy,381e8434-109a-439c-8acc-5d328359f2e0,
Yes,7AC976RDJzL2asmZuz7qil,c1d4f2ba-cf39-460c-9528-6b827d3417a1,
Japanese Breakfast,7MoIc5s9KXolCBH1fy9kkw,8c529495-91f5-4e2f-b71b-adcb66878d04,
